1	0 
2	2 5 19 
3	1 19 
4	2 6 7 
5	2 20 19 
6	3 1 2 19 
7	1 6 
8	1 2 
9	3 2 6 19 
10	1 13 
11	1 12 
12	2 2 12 
13	1 6 
14	4 2 6 12 19 
15	4 2 6 7 14 
16	4 2 6 14 19 
17	1 7 
18	2 7 6 
19	2 2 19 
20	2 2 6 
21	3 1 2 19 
22	1 12 
23	3 2 13 19 
24	0 
25	1 6 
26	0 
27	3 12 7 6 
28	3 1 2 19 
29	2 2 19 
30	1 12 
31	2 12 6 
32	1 2 
33	3 6 7 8 
34	1 6 
35	2 6 8 
36	1 18 
37	2 7 6 
38	2 2 6 
39	0 
40	1 6 
41	1 2 
42	1 8 
43	1 8 
44	1 12 
45	2 12 7 
46	2 12 7 
47	2 2 19 
48	2 6 12 
49	3 2 6 19 
50	1 12 
51	1 1 
52	0 
53	2 16 6 
54	3 2 6 12 
55	1 7 
56	1 2 
57	0 
58	1 2 
59	1 18 
60	2 6 8 
61	4 2 13 19 20 
62	2 12 7 
63	0 
64	4 2 6 8 19 
65	4 2 5 14 19 
66	1 5 
67	0 
68	3 7 6 13 
69	2 2 14 
70	1 2 
71	0 
72	2 2 19 
73	3 8 6 2 
74	1 12 
75	0 
76	2 5 3 
77	4 2 6 7 13 
78	0 
79	0 
80	1 19 
81	2 2 8 
82	3 2 13 19 
83	2 5 6 
84	3 2 18 19 
85	2 7 6 
86	1 2 
87	0 
88	4 2 5 6 19 
89	2 19 10 
90	3 2 6 8 
91	2 12 7 
92	3 2 5 6 
93	4 2 6 8 12 
94	1 12 
95	1 2 
96	0 
97	0 
98	2 2 19 
99	2 2 19 
100	2 2 19 
101	3 1 2 19 
102	1 7 
103	1 19 
104	1 8 
105	1 12 
106	0 
107	3 2 6 12 
108	1 2 
109	1 8 
110	1 15 
111	0 
112	2 16 5 
113	0 
114	3 2 6 8 
115	0 
116	2 2 19 
117	1 8 
118	1 7 
119	4 2 13 21 12 
120	0 
121	3 6 8 16 
122	3 2 13 19 
123	3 2 14 19 
124	2 6 12 
125	1 12 
126	3 1 2 19 
127	2 18 19 
128	1 13 
129	1 19 
130	2 10 19 
131	4 2 6 8 12 
132	1 20 
133	2 2 19 
134	1 7 
135	4 2 6 19 20 
